@relation sentimen_twit 
@attribute term string 
@attribute target {positif, negatif, nonopini} 
@data
"inilah 20 lagu nada sambung ponsel terlaris versi indosat judika lewat lagu saya yang tersakiti memimpin daftar ",nonopini
"butuhnya telkomsel mbot ada indosat 24 jam di wismul memang 24 jam grapari telkomsel ",nonopini
"apaart latedeliv indosat sayang saya maaf like it ",nonopini
"asik chibi chibi siapa mau ketemu cherrybelle voucher indosat gratis ikutan kompetisi kamus anti galau ",nonopini
"info lengkap aplikasi iguard indosat ",nonopini
"oalahhh ternyata simcard card error di akibat ngecharge bb sambil nyalart indosat mau bangcrut ",nonopini
"ayo pasti bisa jadi duta indosat ",nonopini
"bye saya sanggup menggunakan provider indosat dikarenakan jaringanya yang <makian> trimakasih ",positif
"rt pdip paling semangat anti naik bbm mega bukannya naekin naekin bbm jual indosat blbi segala ",nonopini
"indosat ada xl axis juga ada jadi kalau mau tlpn murah tanggal plh nomor saya yang sesuai operator except telkomsel ",nonopini
"serem percantik jaringan indosat kucurkan rp triliun via ",nonopini
"nomor saya rusak yang saya baru bnrin indosat nti saya sms bebb ",nonopini
"okezone ekonomi indosat raih peringkat idaa ",nonopini
"bedanya indosat mobile yang biasa apa inibukanshantiya ",nonopini
"okedeh tan jam jamber tan drt ralat axis xl dan indosat ",nonopini
"indosat senyum ",nonopini
"rthis everyday got message 889 or indosat ",negatif
"mari pakai telefon saya dari indosat caranya dial 777 ",nonopini
"sore nyaa yang pada galau bagusan follow agar nggk galau2an like fanpage juga spectaculars indosat ",nonopini
"kalau salah pindah ke dukomsel permisi galeri indosat yang di bec masuk ada kalau biasanya buka sampai jam baru ",nonopini
"jawaban adalah indosat senyum ",nonopini
"qjo axis indosat m3 wkwkwkwkwkkwkwkwkwkwkwkwkwk ",positif
"btul skli paket internet indosat rp 50 000 dapat kuota 500mb ini sampai 800mb masuk ",nonopini
"indosat juga xl kampreeett pending kebangetan ",negatif
"saja nek ketemu ceritain senin ajak ke indosat nomerku pgen hidupin ",nonopini
"macet macet 15 31 massa long march di depan gd indosat mengarah istana negara arus lintas tersendat ",nonopini
"siaaaap aktifkan silvie dpurple aktifkan rbt apa salah melalui indosat ketik ",nonopini
"rt indosat modus dari smsin saya terus ",negatif
"pakai pf goceng ada yang pakai iphone dengan kartu indosat ini saya daftar paket internet ",positif
"browsing dengan kecepatan tinggi hingga mbps bisa nikmati kapan saja di indosat internet ",nonopini
"pasti bendera juga dibawa bw spanduk lupa cynthiademodd saya mau demo ke indosat ",nonopini
"sos indosat mobile3 kmana ini sinyalnya ",negatif
"aktifkan rbt leikha pergi jauh untuk pengguna indosat ketik 0643829 sms ke 808 ",nonopini
"ya pakai ktp asli info kalau ke indosat minta membuat kartu simcard card itu harus pakai ktp asli apa ",nonopini
"kok harus kekirim dasar indosat ",negatif
"kapan bisa beli aplikasi blackberry pakai pulsa seperti indosat ",nonopini
"asem haha kuesel ngurusi persyaratan lomba sebal nyapo sebal ngelike indosat ",negatif
"kosan saya terima tamu harii ini jadwalnya ke galeri indosat makan tutut aroma nyelesein sistem dikosan tidak-tahu siapa ",nonopini
"triiing buka indosat ",nonopini
"hah nomor rata rata berarti untung telkomsel ikutan indosat sms terus ",nonopini
"masuk belum bisa hape mau ke indosat masuk males cobak bawa ke konter ",nonopini
"yuuk move on ke indosat haha xl kebangetan sangat ganggu sangat ",nonopini
"dalam rangka opo rul ayo rek like fanpage spectaculars indosat plisss terimakasih ",nonopini
"yaahh yang sabar ada pulsa sms kartu indosat saya rusakk heehheh ",nonopini
"tinggal nunggu kata pimpinan ada di iklan indosat im3 ",nonopini
"kalau di analisa pakai klout waktu peak saya ngetweet itu di hari libur atau di saat campaign indosat low tanya ",nonopini
"hello world masuk belum sempet ke gallery indosat njir semoga hari ini jadi ngebetein sangat pakai xl ",nonopini
"rt ikuti tryout snmptn online gratis tanggal 30 maret dari paseban dan indosat berhadiah total 30 juta cek di paseban com ",nonopini
"ini aktivasi paket dari kemarinkemarin gagaaal terus indosat gangguan katanya ",negatif
"indosat kalender dibilang masa aktif paket saya sampai tanggal april barusan dikasih batesnya hari ini dafuq ",nonopini
"yailaaaah mau perpanjang paket indosat error ",negatif
"indosat m3 awalnya simpati sekarang berubah xl didisaid awalny simpati sekarang berubah antipati ",negatif
"haha indosat mbok saya sik males kacrutnya ",nonopini
"kartu indosat dmna beli hhmmmm jrang lihat konter jual itu ",nonopini
"terimakasih indosat m3 ",nonopini
"rt terus kalau indosat membuat event pasti kita dapat invitation khusus via ",nonopini
"sempat terganggu jaringan indosat di aceh kembali normal gempa skala richter yang melanda aceh dan sumatera ",nonopini
"it time to quiz bagi bagi voucher 250rb membuat pertanyaannya registrasi indosat senyum melalui sms ",nonopini
"indosat mati total jaringan telepon di aceh bertahan dengan genset via ",nonopini
"kasus im2 kejaksaan geledah indosat tempo co jakarta kejaksaan agung menggeledah kantor pusat indosat ",nonopini
"rt saatnya pengumuman pemenang kuis siapa yang bakal dapat buku dan pulsa 50rb dari dan indosat ",nonopini
"dika pernah meraih penghargaan bertajuk online inspiring award 2009 dari indosat ",nonopini
"mau browsing apa me pakai bb saja gebleg indosat m2 sampai sekarang belum bisa browsing 3jam bibir soek ",negatif
"pakai kartu indosat booossssss ",nonopini
"pakai indosat ",nonopini
"berasa iklan indosat haha ",nonopini
"yang di gerai indosat hati hati bighug ",nonopini
"guert ada yang menjual pulsa indosat males keluar rumah ",nonopini
"mentari obral obrol telepon berkali termurah 60 menit cuma rp 000 sesama indosat seluruh indonesia ",nonopini
"brey 22th bantul download aplikasi di atau menyecan qr code di materi promo indosat senyum ",nonopini
"seperti brdband dari xl indosat telkomsel hanya satu yang gembira ceria ",nonopini
"ada ap dengan ubersocial indosat ",nonopini
"dan pulsa saya sering hilang terus padahal membuat pakai kartu indosat ",negatif
"semarang patih jl pandanaran depan indosat jam 18 21 cp 085866301556 cc ",nonopini
"ikuti tryout snmptn online gratis tanggal 30 maret dari paseban dan indosat berhadiah total 30 juta cek di ",nonopini
"seandai hotspot lobi indosat bisa di share ke rumah donlod ios 700 mega sampai 10 menit sujud ",nonopini
"makanya online di lt dan pakai indosat haha promote <makian> ini jaringan jelek sangat ",nonopini
"simcard indosat uzur nomor m3 tahun terganti ",nonopini
"siip sma mana yoo ketinggalan info mi coba galeri indosat terdekat ",nonopini
"saya mau aktifkan paket nggit memang sms apa ty galau indosat ngebalas sms ",nonopini
"indosat terimakasih ",nonopini
"ada yang galeri indosat dimana terimakasih before ",nonopini
"satu propeder indosat beda begitu m3 edge donkkrt indakk masuk gprs ",nonopini
"woah terimakasih pak salam kenal pak xl dan ibu indosat haha ",nonopini
"ada galeri indosat masuk di depan rsu ada depan rsu cepu semoga belum pindah cc di cepu ada ",nonopini
"gerai indosat ver paket saya bisa amien mudah kesiangan ",nonopini
"indosat ",nonopini
"kok saya sabar ratih telkomsel indosat ",nonopini
"rbt telkomsel flesi ketik an4 kirim ke 1212 indosat ktk mg spasi anji kirim ke 808 ",nonopini
"pindah sangkuriang ada yang counter indosat di cimahi ",nonopini
"nomor urang pengguna setia indosat sinyal kuat indosat anti galau ",nonopini
"masiv natural next quiz indosat senyum ",nonopini
"info kalau ke indosat minta membuat kartu simcard card itu harus pakai ktp asli apa ",nonopini
"alhamdu lillah dari tadi pagi ngeupgrade beberapa aplikasi saja bisa mati saja indosat ",negatif
"tanyakan pada cc yang ikut rapat kita gini cc tower telkomsel dan indosat disegel",nonopini
"kami canvaser indosat malang tetap semangat agar panas2an ",positif
"rtnih hari ini xl indosat axis pada untung elf habis uang membuat telepon leeteuk hasilnya terkacangkan ",negatif
"egak juga deg haha pertanyaan yang bagus siph siph memang kalau indosat mau membuat twitter ada ",nonopini
"pakai apa xl simpati indosat dirumah saya sinyalnya jelek kalau mau janjian disitu saja bintaranya mana ",positif
"komplain paket internet error bulanan galeri indosat jogja ",negatif
"indosat mslhnya memang kampung jadi jrngnny begitu haha ",nonopini
"galau menunggu hadiah dari indosat yakin dan percayalah bahwa dirimu menang ",nonopini
"galeri indosat dukomsel bandung west java ",nonopini
"rt indosat ini sms pending otp ada suara mate saja ",negatif
"telkomsel sory jb pakai apa ada indosat pending mknya jngn pakai xl wkwkrt ingin di ",negatif
"dikira sms dari siapa ternyata indosat ",nonopini
"ya seperti ketipu dapat cwe dari ngegosok ale ale ngotot itumah ketipu menang hadiah 15jt dari indosat ",nonopini
"indosat saja yang nomor buffering tpi operator kalek nonton mytrans nomor bufferingrt ",nonopini
"semoga saja sms dari indosat surprise april mop anggap saja april mop paketan off ouch ",nonopini
"nah karena sinyal indosat saya dikira kabur pelanggan arrgghhh ",negatif
"ngk ada tinggl dimna di indosat ngapain memang ",nonopini
"gs apa siapa gs membuat pensi pangsud katenyert aurrrel eric bukannya pakai xl jualan pulsanya indosat ",nonopini
"ciki memang m3 anjg pulsa ceban habis di sedotin <makian> biji indosat ",negatif
"galeri indosat tugu ",nonopini
"bingung pulsa saya kesedot mpe 20ribu bingung aktifkan kartu indosat coba lihat video tutorial berikut ini ",nonopini
"makanya pakai indosat pakai simpati parpol kalian <makian> mau apa kalian ikut demo mau mencari simpati ",nonopini
"unjuk rasa opo 11 15 bunderan air mancur depan indosat jl merdeka barat kedatangan 700 ",nonopini
"jawaban adalah indosat mobile paket lengkap 24 jam ",nonopini
"kartunya pakai kartu apa hilang cuma nomernya yang minta di aktifkan ke indosat ",nonopini
"makannya pakai telkomsel ini indosat parah sangat lama lama ganti kartu juga ",negatif
"mendingan ke indosat saja ",nonopini
"indosatm2 nerima faiit kerjanya di indosat mana nrima lowongan kerja praktek ",nonopini
"indosat backstage sekarang bisa download dengerin musik fave sepuasnya indosat com backstage ",nonopini
"sholat podium depan lt indosat ",nonopini
"edit jalur akses internet indosat gunakan proxy ip add 195 189 142 132 port ip 80 yang lain biarkan seperti aslinya ",positif
"indosat gangguan ",negatif
"oiya kami juga mau ngucapain terimakasih membuat indosat yang tadi datang ke cfd di boothnya indosat ",nonopini
"iyan ngobrol2 ttg single barunya bakal bagi2 voucher indosat masing2 25 000 ayo merapat ",nonopini
"kontrakin best haha ternyata dikostan saya indosat cuma edge kalau dikontrakin 3g terooossssss ",nonopini
"axis iklannya yang saya rakyat axis wkwkrt situ yang pakai indosat kamseupay ",nonopini
"haha <makian> oprator berpengalaman telkomsel selain indosat bth operator marketing yang pengalaman ",positif
"niatnya paket habis mau ganti to sayang paketnya haha ganti provider git ini indosat sinyal edge terus ",negatif
"indosat menggandeng samsung mengeluarkan paket bundling samsung galaxy series ",positif
"talkshow with indosat mobile oleh safir sinduk info lanjut 0411 3650381 ",nonopini
"hayaaaaah dapat email indosat males datang saya ",nonopini
"towernya sndiri2 telkomsel indosat flexy ",nonopini
"seiring brjalan wktu indosat mulai mngepakkan sayap hingga meraih 40 juta planggan main suksesnya ",nonopini
"<makian> indosat mahal ",negatif
"senwngnya tengkiu sore bonus dari poin dapat digunakan ke sesama nomor indosat pada jam 00 00 17 00 terimakasih ",nonopini
"oce darling sing sabar yoo drt nomor m3 saya sist saya urus ke indosat pagi tadi kalau ada tlfn atau sms saya ",nonopini
"oalah bahahaa kalau saya katakan nomor telkomsel xl indosat brand lain ",nonopini
"mau jual pasang iklan di saja megawati sampai jual telkomsel indosat demi nutupin kas negara yang ",nonopini
"sama saya ternyata indosat juga ehheheheh kantor xl di mana ",nonopini
"indosat galleri jakarta selatan dki jakarta ",nonopini
"indosat executive lounge soetta airport tanggerang banten ",nonopini
"put padalarang ada tower indosat ",nonopini
"belum gabung di indosat community ayo cepat gabung keuntungan dan pastinya gg nyesel ",nonopini
"jual saja indosat atau pulau medan opsi bbm naik pdip ancam walk out berita cerita kota medan ",nonopini
"<makian> modem saya bisa pakai astaga sabar saja indosat ",nonopini
"mbe mbee tahun di indosat mbe ",nonopini
"yes kuis ayo mau habisin pulsa indosat ",nonopini
"haha tweeps setiap reload isi ulang indosat 50k mendapatkan pcs nutrisari rtd fruit veg 200 ml ",nonopini
"kambuh kalau indosat arghhhhh ",nonopini
"rt duh mendung ik tembalang padahal meh motret indosat mangkat ra ",negatif
"sinyal indosat kemanaaa ",negatif
"indosat service provider sering sangat sms ",nonopini
"still here 10 other cafe indosat cafe ",nonopini
"indosat ini ",negatif
"banduungg let rock indosat hitskafesore nineball caffeine play ari badai irvan etc enjoy music ",positif
"tawa dia haha kmi seperti indosat anti galau galau kalau ",nonopini
"hahaaa makannya pakai indosat duy haha ",nonopini
"rt pantes megawati jual indosat ke singapura kamseupay ",nonopini
"bisa internetan pakai indosat internet ven kalau pakai indosat pakai main game sti pakai ",nonopini
"mau ketinggalan teman yang belum pakai indosat cepat pakai indosat bagi bonus membuat para membet indosat comunity ",nonopini
"ada itu di indosat mau ikut kerja mbakk pengeeennnn sangat hape anyar hikss ",nonopini
"kalau disini m3 jelek indosat im3 sen provider apaan nt pakai lmyn juga provider ",negatif
"keinget terus coba tanya hansa 0855649 itu indosat daerah ",nonopini
"jadi tiga macan juu hayang ntn maneh deedyahayu panasssss ada acara indosat iniiii ",nonopini
"rt pdip paling semangat anti naik bbm mega bukannya naekin naekin bbm jual indosat dengan blbi segala ",nonopini
"hehee sekarang ada pulsa 22nya ada pulsa sms pakai indosat ",nonopini
"bocah tewas tergilas mobil saat rombongan ovj konvoi tkp jl cipto depan indosat jenazah di rumah duka cc ",nonopini
"apa tujuannya indosat tiap subuh kirim settingan gprs dan mms tiap subuh bisa sampai orang tidur kebangun <makian> ",negatif
"untuk melihat panduan indosat senyum caranya ketik pan sms ke 7887 gratis atau melalui umb dengan mengetik 888 ok call ",nonopini
"nasional kasus im2 kejaksaan geledah indosat ",nonopini
"wah sunter conect dengan sinyal indosat parah ",negatif
"uber bisa browsingan lambat indosat <makian> ",negatif
"back to indosat again ",nonopini
"memang pakai indosat oya lupa saya seperti provider yang bisa cuma telkomsel indosat ",nonopini
"mani cng lkar membangun pemancar indosat di kost pang luung sinyalne haha ",nonopini
"itu ambil pulsa iaaa abg saya saya pakai indosat miss abg sammy ",nonopini
"coba telepon ke pacar ka melipir run run small bonus freetalk sesama indosat 100menit sampai 17 00n mubazir haha ",nonopini
"masa yang indosat masuk saja mengeluh tanggal tua tanggal tua tanggal tua ",nonopini
"complaint dengan elegant karena pulsanya raib terus rugiii minah galeri indosat soekarno hatta ",negatif
"disebelahnya indosat namanya coffeebreak dimane pi kita dapat tempat ",nonopini
"rt ayo rame2 like fanpage indosat jabar di ",nonopini
"rt bisa tekan 323 untuk prepaid broadband dan 363 untuk indosat internet terimakasih ",nonopini
"mana mas2 indosat yang katakan saya dapat 15 jt hahahha ",nonopini
"rt halo malang membuat kalian pengguna indosat ada diskon 25 all item tunjukin logo indosat di hp hanya di ",nonopini
"itumah seperti saya sangat put kartu itu rusak harus ganti nomor ataogak ke indosat saja ",nonopini
"info dari mana baru yaampun haha demi apa kalau indosat dibeli ",nonopini
"dd 3g jevelin yang khusus indosat bebenya apa dipunyaku ",negatif
"maaf cah galeri indosat yen minggu buka ra ",nonopini
"mengikuti acr indosat mobile seminar entrepreneur passions di hotel zero to hero terimakasih batamfm ",nonopini
"meninggalkan indosat selingkuh simpati ",negatif
"jawaban adalah program indosat senyum ",nonopini
"cara segelnya tower telkomsel dan indosat disegel warga ",nonopini
"min aktifkan indosat broom modem erte kini hadir kartu indosat satu kartu untuk nikmati kebebasan ",nonopini
"kalau mau dapat gratis internet yang pakai indosat bgmna ",nonopini
"depan indosat pandanaran jm 19 30 22 00 ",nonopini
"akhh indosat error yaaaaa 355 240 275 355 270 255 ",negatif
"follow dan tweet indosat crb apa info ",nonopini
"baguss percantik jaringan indosat kucurkan rp triliun via ",nonopini
"sms pending moy enggaklaah saya juga pakai indosat",negatif
"nomor im3 saya rusak belum sempat ke galeri indosat hubungi saya di nomor telkomsel saya atau lewat bbm ",nonopini
"lancar jaya indosat lambat pol ",negatif
"rt isi pulsa indosat di alfamart min 50k dapat gratis kotak nutrisari fruit vegetable rejeki memang kemana ",nonopini
"farah 25 pt indosat tbk ancol ",nonopini
"pindah paket saja broh sekarang indosat kirim sms gratis 100 sms ",nonopini
"like this sepp boy drpda pakai indosat saya sms pagi sampai ke elo mlamrt ",positif
"cuma setaun kalau ada kegiatan2 dari indosat masuk tetap di undang kayany seaktif sekarang ",nonopini
"hp geter yeaaaahhh di balas buka sms indosat ",nonopini
"sekalinya ada sms smsnya dari indosat ",nonopini
"silahkan dm nama nomor indosat keluhan kmi bntu proses masalah galaumu ",nonopini
"prnh minta pulsa pasti diisiin wkrt papa gur juga mjb iqbaalok bokap di indosat soalnya wksrt ",nonopini
"ngeyel biasa im2 beda indosat min jalan pandanaran fermymoey min info galery indosat m2 ",nonopini
"iyo ora preeetttt kalah viieloephy yobeen anak indosat ",nonopini
"browsing dengan kecepatan tinggi mbps bisa nikmati kapanpun dmnpun kalau pakai indosat internet ",nonopini
"kasus im2 kejaksaan geledah indosat ",nonopini
"haha semoga tower saya tower telkomsel dan indosat disegel warga ",nonopini
"siapp ada invitation dari indosat gathering community juga mulai dari jam 10 tuunggu saya ",nonopini
"gini yang membuat paket indosat gaul laku membuat bbm saja lambat ",negatif
"salam kenal bisa minta bantuan untuk kelancaran skripsiku btuh alamat email sebagai follower indosat untuk sebar kuesioner ",nonopini
"saya ke indosat jam 9an pim jam berapa ",nonopini
"owh terjadi gangguan aktivasi bod indosat sedang ditangani team secepatnya normal kembali ",negatif
"nomor cantik khusus indosat help me mention ",nonopini
"pakai matrix hdup berwarna indosat ",nonopini
"rt rugi untung indosat m3 pending ",negatif
"sedang melow2nya sendirian karena hujan tiba2 dapat sms dari indosat ",negatif
"xl error indosat error pakai simpati selalu lancar ",nonopini
"why ardiwumbo kartu indosat ",nonopini
"sebgaai pengguna ini yang ditunggu2 percantik jaringan indosat kucurkan rp triliun via ",nonopini
"rt haha indosatmania cepat pakai gratis yang bisa dapat mulai dari fb sampai social network ",positif
"star one dan anak tiri indosat ",nonopini
"rt yang mau ikut try out breng indosat tangerang hnya dengan isi pulsa 25rb terus bisa dapat pulsa 10rb to makan siang dan nobar mau mention",nonopini
"yang bapak bawak hp itu yang gedeg lihat iklan indosat senep ",nonopini
"aktifkan rbt wanita biasa telkomsel 0810934 indosat 0629195 xl 10121886 ceria esia flexi axis 0810934 ",nonopini
"sabar om dia memang begitu saya nyerah dan baik ganti provider indosat <makian> ",positif
"pertanyaan adalah nama program penukaran poin indosat ",nonopini
"gedung indosat pelayanan becus habis bottle neck sampai pada pulang kelamaan begitu satpam tukang parkirnya becus juga ",negatif
"emnag jadi suka2 sejak kapan jadi telkomsel setau saya indosat dagh ",nonopini
"saya juga mau saya kuis ayo mau habisin pulsa indosat ",nonopini
"ngomongnya saya kancuttttt rtcruzangel yang jadi model iklan indosat ",nonopini
